lat,lon,Noise
37.444095193518756,-122.23279938969793,2.8541507376277373
37.444091138976546,-122.2328000698231,3.414001491209189
37.444090489808865,-122.23280073366125,3.7246667111829432
37.444089743833715,-122.23280072148955,3.6594569236319776
37.44408909654919,-122.23280068538705,3.7809798545824975
37.44408940232771,-122.23280061048364,3.7901034808911263
37.44408881207635,-122.2328012144729,3.8382536137944525
37.44408753988525,-122.232803060505,4.179863912624251
37.44409035463477,-122.23280754647821,5.618207961702678
37.444093496594625,-122.23281420735118,6.912025550986784
37.44409184978131,-122.23281747832057,7.061894690848958
37.4440886768929,-122.23281785323005,7.108134789219526
37.44409041172731,-122.23281823645728,7.136855568750132
37.44409409402814,-122.23282529790437,7.510159095105017
37.44409960870224,-122.2328434717315,7.631539396031419
37.44410305741696,-122.23287379640432,7.909627751528125
37.44409322703691,-122.23290945184904,7.603041074042193
37.44407084533553,-122.23293886551998,7.222455479552486
37.444047794702605,-122.23295561926047,7.091627472854244
37.444029354102355,-122.23296622030509,7.062057070741349
37.44400938105422,-122.23297884602823,6.989278033405637
37.44398259083159,-122.23299500900544,6.899418482375384
37.4439483347083,-122.23301698278964,6.871339868040335
37.4439141896318,-122.23304127813495,6.819458731777331
37.443886365460564,-122.23306547322655,6.851259041796966
37.44386894649202,-122.23308501822075,6.622865200228554
37.44385916788378,-122.23310468473085,6.561330489961652
37.443855648319044,-122.23313253368974,6.363039395537962
37.443862284124855,-122.23317270724142,5.970594174412106
37.443881488153245,-122.23322910231374,5.702110918507556
37.443912556889856,-122.23330205117786,5.531611853116978
37.44395297105644,-122.23338816645258,5.280440417522064
37.44399940403587,-122.23348271448495,4.976240467667351
37.44404983872545,-122.233583101167,4.637493624223175
37.44410184315662,-122.23368587729183,4.307326347455986
37.444157348373004,-122.2337884873674,4.106958544517146
37.44421188610301,-122.23389030857896,3.712766632509482
37.4442615890852,-122.23398929072843,3.22070739205093
37.44430814664404,-122.23407693108734,3.019924487350137
37.444346910400654,-122.23415127714968,2.875862722261545
37.44437364799295,-122.2342073682634,2.863509682942579
37.444389539642025,-122.2342434217136,2.843400182071257
37.44439775103274,-122.2342632634044,2.805121851372176
37.444400447468205,-122.23427028912484,2.808516207597503
37.4444005903598,-122.23427056002336,2.8672443938444707
37.44440054937458,-122.23427007050165,2.8494649983936022
37.44440070722138,-122.23426966673028,2.766478187720685
37.44440059357474,-122.23426931683372,2.7748632089947094
37.44440034428549,-122.23426960742425,2.8960215879159446
37.444400007755256,-122.23427020142259,2.97921617880751
37.44439975343955,-122.2342704347606,3.096141954054671
37.444399832715604,-122.23427050526207,3.135281432583147
37.44439957148763,-122.23427043337291,3.225869045692549
37.44439947123926,-122.2342703661041,3.2326000375274875
37.44439922702506,-122.23427046806077,3.292111652745836
37.44440110708382,-122.23427493507357,3.2313800064006517
37.444409658712836,-122.23429866303663,3.302923360644231
37.44442328703611,-122.23434936403233,3.32566538589846
37.44442958962655,-122.23441953157551,3.3025262817048984
37.44441734437251,-122.23450042634312,3.278316412752305
37.444380274497156,-122.23458317949866,3.2835013173560337
37.44431757972446,-122.23465780513345,3.342208605364623
37.44423487724727,-122.23472784193142,3.5294741557101537
37.44413707908125,-122.23480088182446,3.9073815279760225
37.444027975465644,-122.23487597180021,4.381519374277261
37.443908896341455,-122.23495331532237,4.833136271307377
37.44378026935339,-122.2350359161747,5.208890863482956
37.44364367119439,-122.23512435570399,5.454088555192296
37.443499288644254,-122.23521921113965,5.606618998490458
37.44334946202308,-122.23531800060313,5.81192850696734
37.44319995477719,-122.23541726974999,6.122020654480529
37.44305423851654,-122.23551456631927,6.163112525229537
37.442910188529716,-122.23561063392363,6.3875544307671746
37.44276673441831,-122.2357055966357,6.902652807651818
37.44262143397574,-122.23580153420777,7.355976861427978
37.44247707503472,-122.23589676622787,7.927411074265355
37.44233743975862,-122.23598815357023,9.029623044098232
37.442203499060305,-122.23607670471455,10.1198462091409
37.44207468024104,-122.23616351251613,11.00810936186024
37.44194832538163,-122.23625076084834,11.779605326713314
37.44182275449663,-122.23633922380591,12.517004067779915
37.4416958979383,-122.23642933783056,13.23000121686087
37.441564855994784,-122.23652443880464,14.029994793151907
37.44143134770492,-122.23663017515125,14.972790435570692
37.4412980712846,-122.23675150878326,15.880118428565714
